rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,1826,irrigado,1.5904382169,0.0073773859,0.0073773859,7.5808275390
2,1816,irrigado,1.4135490608,0.0086079812,0.0086079812,7.4699335386
3,1835,irrigado,1.5702418893,0.0073596711,0.0073596711,7.4538343127
4,907,irrigado,1.5978256178,0.0069984147,0.0069984147,7.3487436757
5,906,irrigado,1.5698206968,0.0069505077,0.0069505077,7.1557823559
6,1834,irrigado,1.5169955120,0.0071776601,0.0071776601,7.0212487271
7,1827,irrigado,1.5142112759,0.0071152711,0.0071152711,6.9604227442
8,1833,irrigado,1.4942909921,0.0070938966,0.0070938966,6.8323457535
9,1815,irrigado,1.3852724600,0.0079315390,0.0079315390,6.8212427601
10,1832,irrigado,1.4820047842,0.0070443803,0.0070443803,6.7270966873
11,1828,irrigado,1.4852253083,0.0070191478,0.0070191478,6.7270722879
12,1831,irrigado,1.4740861454,0.0070075552,0.0070075552,6.6557132903
13,1829,irrigado,1.4713461156,0.0069775359,0.0069775359,6.6185283100
14,1830,irrigado,1.4702438659,0.0069854184,0.0069854184,6.6179920966
15,1817,irrigado,1.3247317024,0.0079775441,0.0079775441,6.5121834528
16,2186,irrigado,1.4689736155,0.0065354923,0.0065354923,6.2856834555
17,2185,irrigado,1.4590516243,0.0063041788,0.0063041788,6.0624313446
18,2187,irrigado,1.4222260162,0.0063789797,0.0063789797,5.9082683964
19,436,irrigado,1.3769643982,0.0064705791,0.0064705791,5.7185463346
20,2184,irrigado,1.4269923438,0.0059931487,0.0059931487,5.6564077073
