banda,comprimento_onda_nm,dias_confirmados,origem_selecao_temporal
band_350,350,2,confirmado_em_pelo_menos_2_dias
band_351,351,2,confirmado_em_pelo_menos_2_dias
band_352,352,3,confirmado_em_pelo_menos_2_dias
band_353,353,3,confirmado_em_pelo_menos_2_dias
band_354,354,3,confirmado_em_pelo_menos_2_dias
band_355,355,3,confirmado_em_pelo_menos_2_dias
band_356,356,4,confirmado_em_pelo_menos_2_dias
band_357,357,3,confirmado_em_pelo_menos_2_dias
band_358,358,3,confirmado_em_pelo_menos_2_dias
band_359,359,3,confirmado_em_pelo_menos_2_dias
band_360,360,2,confirmado_em_pelo_menos_2_dias
band_361,361,3,confirmado_em_pelo_menos_2_dias
band_362,362,4,confirmado_em_pelo_menos_2_dias
band_363,363,3,confirmado_em_pelo_menos_2_dias
band_364,364,2,confirmado_em_pelo_menos_2_dias
band_365,365,2,confirmado_em_pelo_menos_2_dias
band_366,366,3,confirmado_em_pelo_menos_2_dias
band_367,367,3,confirmado_em_pelo_menos_2_dias
band_368,368,2,confirmado_em_pelo_menos_2_dias
band_369,369,3,confirmado_em_pelo_menos_2_dias
band_370,370,3,confirmado_em_pelo_menos_2_dias
band_371,371,3,confirmado_em_pelo_menos_2_dias
band_372,372,3,confirmado_em_pelo_menos_2_dias
band_373,373,3,confirmado_em_pelo_menos_2_dias
band_374,374,3,confirmado_em_pelo_menos_2_dias
band_375,375,3,confirmado_em_pelo_menos_2_dias
band_376,376,3,confirmado_em_pelo_menos_2_dias
band_377,377,2,confirmado_em_pelo_menos_2_dias
band_378,378,2,confirmado_em_pelo_menos_2_dias
band_379,379,3,confirmado_em_pelo_menos_2_dias
band_380,380,3,confirmado_em_pelo_menos_2_dias
band_381,381,3,confirmado_em_pelo_menos_2_dias
band_382,382,2,confirmado_em_pelo_menos_2_dias
band_383,383,2,confirmado_em_pelo_menos_2_dias
band_384,384,3,confirmado_em_pelo_menos_2_dias
band_385,385,2,confirmado_em_pelo_menos_2_dias
band_386,386,3,confirmado_em_pelo_menos_2_dias
band_387,387,3,confirmado_em_pelo_menos_2_dias
band_388,388,3,confirmado_em_pelo_menos_2_dias
band_389,389,3,confirmado_em_pelo_menos_2_dias
band_390,390,3,confirmado_em_pelo_menos_2_dias
band_391,391,3,confirmado_em_pelo_menos_2_dias
band_392,392,2,confirmado_em_pelo_menos_2_dias
band_393,393,3,confirmado_em_pelo_menos_2_dias
band_394,394,3,confirmado_em_pelo_menos_2_dias
band_395,395,2,confirmado_em_pelo_menos_2_dias
band_396,396,3,confirmado_em_pelo_menos_2_dias
band_397,397,3,confirmado_em_pelo_menos_2_dias
band_398,398,3,confirmado_em_pelo_menos_2_dias
band_399,399,3,confirmado_em_pelo_menos_2_dias
band_400,400,2,confirmado_em_pelo_menos_2_dias
band_402,402,2,confirmado_em_pelo_menos_2_dias
band_403,403,2,confirmado_em_pelo_menos_2_dias
band_404,404,2,confirmado_em_pelo_menos_2_dias
band_406,406,2,confirmado_em_pelo_menos_2_dias
band_407,407,2,confirmado_em_pelo_menos_2_dias
band_409,409,2,confirmado_em_pelo_menos_2_dias
band_410,410,2,confirmado_em_pelo_menos_2_dias
band_412,412,2,confirmado_em_pelo_menos_2_dias
band_413,413,2,confirmado_em_pelo_menos_2_dias
band_414,414,2,confirmado_em_pelo_menos_2_dias
band_415,415,2,confirmado_em_pelo_menos_2_dias
band_422,422,3,confirmado_em_pelo_menos_2_dias
band_424,424,2,confirmado_em_pelo_menos_2_dias
band_427,427,2,confirmado_em_pelo_menos_2_dias
band_429,429,2,confirmado_em_pelo_menos_2_dias
band_431,431,2,confirmado_em_pelo_menos_2_dias
band_437,437,2,confirmado_em_pelo_menos_2_dias
band_438,438,2,confirmado_em_pelo_menos_2_dias
band_439,439,2,confirmado_em_pelo_menos_2_dias
