analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia6_EMB48,dia6 - EMB48,dia6,EMB48,SVM (RBF),Nao irrigado,0,1.0,1.0,1.0,4
dia6_EMB48,dia6 - EMB48,dia6,EMB48,SVM (RBF),Irrigado,1,1.0,1.0,1.0,4
