target,model,classe,classe_codigo,precision,recall,f1,support
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde,0,0.5384615384615384,0.5833333333333334,0.56,12
condicao_genotipo_turno,SVM (RBF),IRR|BR16|unico,1,0.2857142857142857,0.16666666666666666,0.21052631578947367,12
condicao_genotipo_turno,SVM (RBF),IRR|CD202|manha + tarde,2,0.2,0.08333333333333333,0.11764705882352941,12
condicao_genotipo_turno,SVM (RBF),IRR|CD202|unico,3,0.0,0.0,0.0,12
condicao_genotipo_turno,SVM (RBF),IRR|EMB48|manha + tarde,4,0.4,0.5,0.4444444444444444,12
condicao_genotipo_turno,SVM (RBF),IRR|EMB48|unico,5,0.3157894736842105,0.5,0.3870967741935484,12
condicao_genotipo_turno,SVM (RBF),NIRR|BR16|manha + tarde,6,0.7777777777777778,0.5833333333333334,0.6666666666666666,12
condicao_genotipo_turno,SVM (RBF),NIRR|BR16|unico,7,0.35,0.5833333333333334,0.4375,12
condicao_genotipo_turno,SVM (RBF),NIRR|CD202|manha + tarde,8,0.2857142857142857,0.6666666666666666,0.4,12
condicao_genotipo_turno,SVM (RBF),NIRR|CD202|unico,9,0.0,0.0,0.0,12
condicao_genotipo_turno,SVM (RBF),NIRR|EMB48|manha + tarde,10,0.0,0.0,0.0,12
condicao_genotipo_turno,SVM (RBF),NIRR|EMB48|unico,11,0.36363636363636365,0.3333333333333333,0.34782608695652173,12
