target,model,feature,permutation_mean,permutation_std
condicao,Random Forest,band_400,0.32780240399128036,0.042657518673539084
condicao,Random Forest,band_1580,0.03194719128317741,0.011140958905936697
condicao,Random Forest,band_739,0.02824357683818552,0.01075053708608592
condicao,Random Forest,band_579,0.013889558717145034,0.0
condicao,Random Forest,band_530,0.011111379042413595,0.0034025613084316853
condicao_genotipo,LDA,band_550,0.5446163714307649,0.029693371617128997
condicao_genotipo,LDA,band_530,0.529952716649745,0.03801247065120038
condicao_genotipo,LDA,band_401,0.44078176501256944,0.03930171985972607
condicao_genotipo,LDA,band_400,0.4189115488979186,0.03293431533191866
condicao_genotipo,LDA,band_720,0.28414263771554094,0.04236588585019714
condicao_genotipo_turno,LDA,band_530,0.4576250079142391,0.02645414675779398
condicao_genotipo_turno,LDA,band_550,0.41854561637807863,0.024764246648395296
condicao_genotipo_turno,LDA,band_400,0.38785835987836886,0.025785811376740884
condicao_genotipo_turno,LDA,band_401,0.36592304125028147,0.02892759300365053
condicao_genotipo_turno,LDA,band_720,0.2653412975534141,0.03462650399788393
