dia,genotipo,turno,pair,n_irrigado,n_nao_irrigado,top1_banda_nm,top1_desvio,top5_SR_noncollinear_10nm,deviations
2017-02-23,BR16,manha,irrigado_vs_nao_irrigado,32,32,1883,0.504,"1883,357,1001,1831,1392","0.504,0.103,0.095,0.064,0.040"
2017-02-23,BR16,tarde,irrigado_vs_nao_irrigado,32,32,1883,0.504,"1883,357,1001,1831,1392","0.504,0.103,0.095,0.064,0.040"
2017-02-23,CD202,manha,irrigado_vs_nao_irrigado,32,32,1883,1.875,"1883,1873,1393,1893,1403","1.875,0.147,0.112,0.091,0.060"
2017-02-23,CD202,tarde,irrigado_vs_nao_irrigado,32,32,1883,3.342,"1883,1873,1893,1393,357","3.342,0.162,0.118,0.117,0.063"
2017-02-23,EMB48,manha,irrigado_vs_nao_irrigado,32,32,1883,1.0,"1883,1873,1394,356,1384","1.000,0.112,0.096,0.082,0.067"
2017-02-23,EMB48,tarde,irrigado_vs_nao_irrigado,32,32,1883,1.0,"1883,1873,1394,356,1384","1.000,0.112,0.096,0.082,0.067"
2017-02-24,BR16,manha,irrigado_vs_nao_irrigado,32,32,1884,2.515,"1884,1874,1894,1393,1001","2.515,0.192,0.146,0.097,0.081"
2017-02-24,BR16,tarde,irrigado_vs_nao_irrigado,32,32,1884,2.515,"1884,1874,1894,1393,1001","2.515,0.192,0.146,0.097,0.081"
2017-02-24,CD202,manha,irrigado_vs_nao_irrigado,32,32,1883,5.395,"1883,1893,1873,1903,567","5.395,0.225,0.187,0.103,0.090"
2017-02-24,CD202,tarde,irrigado_vs_nao_irrigado,32,32,1883,5.395,"1883,1893,1873,1903,567","5.395,0.225,0.187,0.103,0.090"
2017-02-24,EMB48,manha,irrigado_vs_nao_irrigado,32,32,1884,20.294,"1884,1894,1874,569,729","20.294,0.193,0.131,0.127,0.122"
2017-02-24,EMB48,tarde,irrigado_vs_nao_irrigado,32,32,1884,20.294,"1884,1894,1874,569,729","20.294,0.193,0.131,0.127,0.122"
2017-02-25,BR16,manha,irrigado_vs_nao_irrigado,32,32,1880,5.027,"1880,1870,1393,1890,1383","5.027,0.266,0.256,0.205,0.172"
2017-02-25,CD202,manha,irrigado_vs_nao_irrigado,32,32,366,0.136,"366,356,377,567,731","0.136,0.118,0.107,0.081,0.075"
2017-02-25,EMB48,manha,irrigado_vs_nao_irrigado,32,32,1880,5.061,"1880,1393,1870,1383,1403","5.061,0.319,0.296,0.211,0.183"
2017-02-26,BR16,manha,irrigado_vs_nao_irrigado,32,32,1884,3.994,"1884,1874,1894,732,369","3.994,0.178,0.173,0.104,0.103"
2017-02-26,CD202,manha,irrigado_vs_nao_irrigado,32,32,1884,2.417,"1884,1874,1894,730,370","2.417,0.220,0.194,0.112,0.109"
2017-02-26,EMB48,manha,irrigado_vs_nao_irrigado,32,32,1885,4.746,"1885,1895,1875,569,730","4.746,0.272,0.210,0.174,0.155"
2017-02-27,BR16,manha,irrigado_vs_nao_irrigado,32,32,1885,5.053,"1885,1875,1895,1393,363","5.053,0.398,0.289,0.187,0.131"
2017-02-27,CD202,manha,irrigado_vs_nao_irrigado,32,32,1884,5.251,"1884,1874,1894,1393,362","5.251,0.303,0.252,0.150,0.127"
2017-02-27,EMB48,manha,irrigado_vs_nao_irrigado,32,32,1884,35.147,"1884,1894,368,571,356","35.147,0.198,0.132,0.132,0.126"
2017-03-02,BR16,manha,irrigado_vs_nao_irrigado,32,32,1882,1.0,"1882,354,364,379,1000","1.000,0.162,0.127,0.079,0.070"
2017-03-02,BR16,tarde,irrigado_vs_nao_irrigado,32,32,1883,0.303,"1883,372,1000,1831,360","0.303,0.133,0.132,0.090,0.086"
2017-03-02,CD202,manha,irrigado_vs_nao_irrigado,36,32,1884,14.964,"1884,1874,1894,1393,354","14.964,0.408,0.348,0.227,0.214"
2017-03-02,CD202,tarde,irrigado_vs_nao_irrigado,32,32,1884,14.55,"1884,1874,1894,1393,731","14.550,0.404,0.342,0.220,0.138"
2017-03-02,EMB48,manha,irrigado_vs_nao_irrigado,32,32,1881,0.453,"1881,731,568,741,721","0.453,0.122,0.108,0.104,0.093"
2017-03-02,EMB48,tarde,irrigado_vs_nao_irrigado,32,32,1881,1.736,"1881,731,1871,1394,373","1.736,0.116,0.114,0.108,0.107"
