analysis,family_nm,count_top5,wavelengths_distintas,mean_persistencia,min_q
cond,400.0,6,2,0.3,7.549372294188427e-32
cond,1530.0,3,3,0.10000000000000002,1.4194297717922904e-29
cond,1900.0,3,3,0.10000000000000002,7.059590273113205e-11
cond,410.0,2,2,0.1,1.4026510946499833e-23
cond,570.0,2,1,0.2,9.142598950987489e-14
cond,530.0,1,1,0.1,1.0323354150563847e-26
cond,1540.0,1,1,0.1,1.9188748753602937e-21
cond,1600.0,1,1,0.1,1.3615829787188056e-16
cond,430.0,1,1,0.1,8.197203348457055e-16
cond,620.0,1,1,0.1,9.42909277489777e-16
cond,1520.0,1,1,0.1,3.6933804373783005e-15
cond,1580.0,1,1,0.1,1.0503301357760771e-10
cond,730.0,1,1,0.1,2.4447649247075995e-10
cond,1510.0,1,1,0.1,2.566671066849432e-10
cond,1380.0,1,1,0.1,2.794942917682281e-10
cond,720.0,1,1,0.1,2.1817147321582156e-09
cond,1340.0,1,1,0.1,5.831269243658221e-09
cond,640.0,1,1,0.1,1.6847540094980926e-08
cond,510.0,1,1,0.1,0.000174755613685
gen,700.0,5,4,0.125,5.484888861730042e-25
gen,550.0,4,3,0.13333333333333333,7.399571712781317e-22
gen,730.0,3,1,0.3,3.683264894615456e-22
gen,720.0,3,2,0.15000000000000002,2.9944321547889685e-18
gen,740.0,3,1,0.3,1.227447963052811e-16
gen,710.0,2,2,0.1,3.4977443149578314e-25
gen,520.0,1,1,0.1,7.613600663222552e-27
gen,1380.0,1,1,0.1,6.342996960151935e-19
gen,1370.0,1,1,0.1,3.2498719943846698e-18
gen,630.0,1,1,0.1,6.366538630717899e-18
gen,580.0,1,1,0.1,4.0660457165163455e-14
gen,610.0,1,1,0.1,1.182777331177991e-13
gen,1730.0,1,1,0.1,2.993617599990181e-13
gen,980.0,1,1,0.1,7.622351894322498e-12
gen,540.0,1,1,0.1,2.7452040195953558e-05
gen,1390.0,1,1,0.1,0.0004478022758452
gen_cond,400.0,5,2,0.25,1.3106927168707852e-28
gen_cond,1520.0,3,3,0.10000000000000002,4.4443502930968525e-28
gen_cond,520.0,3,3,0.10000000000000002,2.7984717507812795e-25
gen_cond,720.0,3,2,0.15000000000000002,4.790983261779158e-24
gen_cond,710.0,3,3,0.10000000000000002,4.9370071282048046e-24
gen_cond,550.0,2,1,0.2,1.6087903827791048e-24
gen_cond,700.0,2,2,0.1,3.7353848844405313e-23
gen_cond,530.0,1,1,0.1,2.359267131901225e-28
gen_cond,410.0,1,1,0.1,3.7353848844405313e-23
gen_cond,730.0,1,1,0.1,1.6393943319078102e-22
gen_cond,1590.0,1,1,0.1,9.178575173325735e-21
gen_cond,630.0,1,1,0.1,1.1773645956671937e-19
gen_cond,1370.0,1,1,0.1,2.680134443391726e-19
gen_cond,740.0,1,1,0.1,4.936509315639737e-16
gen_cond,1510.0,1,1,0.1,1.1075105601051402e-15
gen_cond,1380.0,1,1,0.1,2.0030474535259266e-12
